word,frequency
build,3
apparently,2
month,2
two,24
believe,10
read,3
herethe,1
end,7
world,9
color,2
smoke,3
kind,13
rigid,1
concertinaand,1
stores,3
orders,1
you,133
sandbanks,2
forests,1
savagesprecious,1
little,27
eat,1
civilized,1
drink,4
falernian,1
wine,1
ashore,3
military,2
camp,4
lost,11
wilderness,9
needle,1
bundle,1
hay,1
cold,4
fog,1
tempests,1
disease,2
exile,1
deathdeath,1
skulking,1
bush,5
dying,3
flies,4
oh,8
yeshe,1
well,20
doubt,6
either,6
except,1
brag,1
perhaps,14
enough,16
face,9
cheered,1
keeping,4
eye,3
chance,4
promotion,1
fleet,3
ravenna,1
byandby,4
friends,1
rome,1
survived,1
awful,1
climate,3
think,13
decent,3
young,9
citizen,1
togaperhaps,1
dice,1
knowcoming,1
train,1
prefect,1
taxgatherer,1
trader,2
mend,2
fortunes,1
swamp,1
march,2
woods,1
post,2
feel,7
savagery,2
utter,1
closed,4
himall,1
mysterious,4
stirs,1
forest,10
jungles,1
wild,3
theres,3
initiation,1
such,20
mysteries,1
midst,2
incomprehensible,3
detestable,1
fascination,2
abominationyou,1
know,40
growing,3
regrets,1
longing,1
escape,1
powerless,1
disgust,1
surrender,1
hate,5
paused,2
mind,4
again,16
lifting,4
arm,5
elbow,1
palm,2
hand,9
legs,6
folded,1
pose,2
buddha,1
preaching,1
european,1
clothes,3
lotus,1
flowermind,1
none,1
would,62
exactly,2
saves,1
efficiencythe,1
devotion,2
efficiency,1
chaps,4
account,2
really,6
colonists,1
administration,4
merely,1
squeeze,1
suspect,1
con,6
querors,1
want,8
brute,2
forcenothing,1
boast,1
since,6
your,16
strength,2
accident,2
arising,1
weakness,2
grabbed,1
get,28
sake,2
got,26
robbery,1
violence,2
aggra,1
vated,1
murder,1
scale,1
blind,2
proper,1
those,10
tackle,2
conquest,1
mostly,3
means,3
taking,6
away,18
different,1
complexion,2
flatter,1
noses,1
ourselves,2
pretty,6
look,23
redeems,1
idea,13
sentimental,1
pretense,2
unselfish,1
belief,2
something,17
can,21
bow,1
offer,2
sacrifice,1
broke,2
off,23
flames,4
glided,2
small,7
pursuing,1
overtaking,1
joining,1
crossing,3
otherthen,1
separating,1
slowly,10
hastily,1
traffic,1
city,4
went,26
deepening,1
sleepless,1
waiting,5
patientlythere,1
else,6
do,26
till,8
hesitating,1
voice,9
suppose,4
fel,3
lows,1
remember,7
once,12
freshwater,1
sailor,2
bit,11
knew,5
fated,1
hear,5
marlows,1
inconclusive,1
ex,4
periences,1
dont,21
bother,2
hap,1
pened,1
me,99
personally,1
showing,2
re,2
mark,1
tellers,1
tales,1
unaware,1
audience,1
yet,11
understand,7
ought,5
how,23
saw,15
met,3
poor,5
chap,8
farthest,1
point,3
navigation,2
culminating,1
my,108
experience,1
throw,2
everything,8
thoughts,3
tooand,1
pitifulnot,1
extraordinary,2
any,22
waynot,1
clear,7
then,35
lon,1
don,1
indian,1
ocean,1
pacific,1
china,1
seas,2
regular,1
dose,1
eastsix,1
loafing,1
hindering,1
invading,1
homes,1
though,16
heavenly,1
mission,1
civilize,1
fine,10
tired,2
resting,1
shipi,1
should,8
hardest,1
wouldnt,5
now,13
passion,2
maps,1
south,2
america,1
africa,1
australia,1
lose,1
myself,14
glories,1
exploration,1
blank,4
spaces,1
particularly,2
inviting,2
map,4
finger,3
grow,1
will,14
pole,4
havent,2
shall,3
try,5
glamours,1
scattered,3
equator,1
sort,10
lati,1
tude,1
hemispheres,1
wont,4
talk,15
yetthe,1
speakthat,1
hankering,1
true,5
filled,2
boyhood,1
rivers,2
lakes,1
ceased,2
delightful,2
mysterya,1
patch,2
boy,3
dream,4
gloriously,1
become,4
especially,2
mighty,2
big,14
see,47
resembling,1
immense,4
snake,4
uncoiled,1
head,17
body,5
curving,1
afar,3
vast,5
country,7
tail,1
depths,4
shopwindow,1
fascinated,1
birda,1
silly,1
bird,1
remembered,3
concern,3
company,4
dash,1
thought,12
cant,4
using,1
fresh,3
steamboats,1
why,12
shouldnt,3
street,4
shake,2
charmed,3
continental,1
trading,2
society,1
relations,1
living,4
cheap,1
nasty,1
looks,1
am,13
sorry,1
own,10
worry,1
departure,1
things,16
road,8
believed,1
thenyou,1
somehow,4
hook,2
crook,2
worried,2
dear,6
fellow,6
thenwould,1
iti,1
tried,5
women,7
charlie,2
workto,2
job,1
heavens,3
notion,3
drove,2
aunt,2
enthusiastic,2
soul,1
she,21
wrote,3
ready,3
anything,11
glorious,2
wife,2
high,14
personage,1
lots,3
influence,3
c,2
determined,1
make,14
fuss,1
ap,3
pointed,1
skipper,2
steamboat,12
fancy,6
appointmentof,1
course,8
